,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
120,CF SPORTS Double Spring Waist Trimmer-Abs Exerciser-Bod...,₹290,₹899,67% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CF
121,CF SPORTS Double Spring Waist Tummy Trimmer-Abs Exercis...,₹290,₹965,69% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CF
122,CF SPORTS Pull Rope with Foot Pedal Abdominal Exerciser...,₹349,₹899,61% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CF
123,CF SPORTS Body Building Trimmer/ Waist Shaper Trimmer f...,₹367,₹899,59% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CF
124,"Active Sports & Fitness Arena TWISTER BOARD FOR WAIST, ...",₹549,₹699,21% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Active
125,Bhatia Sports Orbit Bike 4 in 1 with Back SupportAir Bi...,"₹15,555","₹50,000",68% off,3.3,(13),"Sports, Fitness, and Outdoor",Sports Equipment,Bhatia
126,DCS Pro 40 kg FITNESS PVC GYM COMBO + 5ft. Straight + 3...,"₹3,599","₹5,999",40% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,DCS
127,5 O' CLOCK SPORTS SPORTS Unisex Body Building Polyester...,₹509,"₹3,000",83% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,5
128,TRUE INDIAN Gym Sipper Bottle with Wrist Band and Woode...,₹399,₹499,20% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
129,TRUE INDIAN Gym Duffel Bag & Gym Shaker Bottle With Wri...,₹479,₹699,31% off,4.9,(7),"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
130,Greeture Gym Combo: Sports Duffle Bag with Adjustable S...,₹449,₹999,55% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Greeture
131,DCS Pro FITNESS GYM KIT + 5Ft. Straight + 3ft. Bend ROD...,"₹2,899","₹5,999",51% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,DCS
132,TRUE INDIAN Gym Duffel Bag & Gym Shaker Bottle With Wri...,₹479,₹699,31% off,4.9,(7),"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
133,G-FiT Arrowmax bag 2 Fitness Accessory Kit Kit,₹249,₹350,28% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,G-FiT
