,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
147,"Voods V Heads - Active IP65-Water&Dust Resistant, Noise...","₹1,709","₹5,549",69% off,3.9,(21),Electronics,Headphones,Voods
148,"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,299","₹3,499",62% off,4.1,"(96,714)",Electronics,Headphones,Boult
149,GUGGU FG-169 SH12 Headset Super Extra Bass Bluetooth He...,₹579,"₹1,149",49% off,2.5,(11),Electronics,Headphones,GUGGU
150,uag urbn armour gear UAG SONIC MUSIC SERIES HIGH Qualit...,₹596,"₹2,999",80% off,3.9,(8),Electronics,Headphones,uag
151,Baani Audio BN209-Grey in Ear 5.3 Bluetooth Neckband wi...,₹529,"₹2,499",78% off,4.4,(7),Electronics,Headphones,Baani
152,Aroma NB140 Ninja 40 Hours*Playtime | Deep Bass | Fast ...,₹449,"₹2,399",81% off,3.8,"(3,384)",Electronics,Headphones,Aroma
153,"realme Buds Air 6 with 50dB ANC, 12.4mm Bass Driver, Hi...","₹3,299","₹5,999",45% off,4.3,"(10,140)",Electronics,Headphones,realme
154,"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,299","₹3,499",62% off,4.1,"(96,714)",Electronics,Headphones,Boult
155,"TECHNUV S460 ANC High Quality Pure Sound, IPX5 Touch, M...",₹599,"₹2,499",76% off,4,(147),Electronics,Headphones,TECHNUV
156,MEGABAR Saint 333 30HR IPX4 With Deep Bass HDMIC 10mm D...,₹421,"₹1,999",78% off,3.1,(17),Electronics,Headphones,MEGABAR
157,uag urbn armour gear MAGNETIC SENSOR ON/OFF BULLET Z2 W...,₹604,"₹2,499",75% off,3.7,(3),Electronics,Headphones,uag
158,MZ Mpods19 (Wireless Earbuds) 1200mAh Battery True Wire...,₹399,"₹1,299",69% off,3.7,"(2,677)",Electronics,Headphones,MZ
159,"realme Buds Wireless 3 with 30dB ANC, 360 degree Spatia...","₹1,799","₹2,999",40% off,4.3,"(1,35,384)",Electronics,Headphones,realme
160,OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"₹1,599","₹3,999",60% off,4.3,"(3,84,039)",Electronics,Headphones,OPPO
161,"Boult Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms ...",₹799,"₹2,999",73% off,3.9,"(1,25,841)",Electronics,Headphones,Boult
162,OnePlus Bullets Wireless Z2 ANC Earphones with 45dB Hyb...,"₹2,299","₹2,499",8% off,4.2,"(79,796)",Electronics,Headphones,OnePlus
163,OnePlus Nord Buds 3 Pro Truly Wireless Earbuds with 49d...,"₹3,299","₹3,699",10% off,4.4,"(9,938)",Electronics,Headphones,OnePlus
164,boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,"₹1,699","₹7,990",78% off,4.1,"(89,576)",Electronics,Headphones,boAt
165,OnePlus Nord Buds 3 Pro Truly Wireless Earbuds with 49d...,"₹3,299","₹3,699",10% off,4.4,"(9,938)",Electronics,Headphones,OnePlus
166,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",₹999,"₹2,999",66% off,4,"(5,58,058)",Electronics,Headphones,Noise
